synonym,canonical_name
ابريق حساء,ابريق الحساء اينوكس
ابريق,ابريق الحساء اينوكس
ابريق اينوكس,ابريق الحساء اينوكس
ابريق شاي 2 لتر,ابريق الشاي 2ل
ابريق شاي,ابريق الشاي 2ل
ابريق 2ل,ابريق الشاي 2ل
ابريق شاي 3 لتر,ابريق الشاي 3ل
ابريق 3ل,ابريق الشاي 3ل
ابريق خزف,ابريق حساء خزفي
ابريق حساء فخار,ابريق حساء خزفي
حسائية اينوكس,حسائية 200 اينوكس بغطاء
حسائية,حسائية 200 اينوكس بغطاء
حساء اينوكس,حسائية 200 اينوكس بغطاء
حسائية سيراميك,حسائية سيراميك ح ك
حسائية فخار,حسائية سيراميك ح ك
صحن كبير,صحن مسطح حجم كبير
صحن متوسط,صحن مسطح حجم متوسط
صحن صغير,صحن مسطح حجم صغير
صحن عميق كبير,صحن مقعر حجم كبير
صحن عميق متوسط,صحن مقعر حجم متوسط
صحن عميق صغير,صحن مقعر حجم صغير
ملعقة طاولة,ملعقة الطاولة بالواحدة
ملعقة اينوكس,ملعقة الطاولة اينوكس فاخرة
سكين,سكين المطبخ
سكين مطبخ,سكين المطبخ
قدر 20ل,قدر بغطاء 20 لتر
قدر 26,قدر بغطاء 26'
قدر 32,قدر بغطاء 32 '
قدر 36,قدر بغطاء 36 ل
قدر 40ل,قدر بغطاء 40 لتر
قدر 50ل,قدر بغطاء 50 ل
طقم قهوة,طقم القهوة 12 ق فخار
طقم قهوة فخار,طقم القهوة 12 ق فخار
كاس اينوكس,كاس الماء اينوكس
كاس ماء,كاس الماء اينوكس
كأس شاي,كاس شاي
كاس قهوة,كاس قهوة وحليب
فرشاة طاولة,فرشاة الطاولة بالواحدة
فرشاة,فرشاة الطاولة بالواحدة
مصفاة اينوكس,مصفاة ح ك اينوكس
مصفاة ح م اينوكس,مصفاة ح م اينوكس
مغرفة اينوكس,مغرفة ح ك اينوكس
مغرفة صغيرة,مغرف ح ص اينوكس
قطاعة خبز,قطاعة خبز يدوية
قطاعة بطاطا,قاطعة بطاطا يدوية
ورق المنيوم,ورق ألمنيوم ملفوف 200 متر
المنيوم,ورق ألمنيوم ملفوف 200 متر
سلة خبز,سلة خبز اينوكس
سلة اينوكس,سلة خبز اينوكس

# OCR Error Mappings (handwritten invoice corrections)
فرشا الاوله,فرشاة الطاولة بالواحدة
فرشا الاولة,فرشاة الطاولة بالواحدة
sale الماوله,ملعقة الطاولة بالواحدة
الماوله,ملعقة الطاولة بالواحدة
ملمتئي الماولة,ملعقة الطاولة بالواحدة
ay gs سائيه,حسائية سيراميك ح ك
سائيه,حسائية سيراميك ح ك
سائيه فخاريه,قدح للحساء من الفخار
سائية تحار,قدح للحساء من الفخار
بلا سالف مربع,بلا سالف عادي مربع
مصفاة ح ك,مصفاة ح ك اينوكس
حسائية فخارية,قدح للحساء من الفخار
حسائبة فخارية,قدح للحساء من الفخار